team,team_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
Yankees,NYY,2025,6235,4069,0.251,0.25,0.0010000000000000000,0.455,0.452,0.0030000000000000000,0.338,0.34,-0.0020000000000000000
Brewers,MIL,2025,6227,4320,0.258,0.248,0.010000000000000000,0.403,0.381,0.02200000000000000,0.322,0.313,0.009000000000000010
D-backs,AZ,2025,6210,4265,0.251,0.249,0.0020000000000000000,0.433,0.418,0.015000000000000000,0.327,0.325,0.0020000000000000000
Red Sox,BOS,2025,6206,4197,0.254,0.247,0.007000000000000010,0.421,0.407,0.014000000000000000,0.323,0.319,0.0040000000000000000
Mariners,SEA,2025,6200,4119,0.244,0.242,0.0020000000000000000,0.42,0.412,0.008000000000000010,0.321,0.32,0.0010000000000000000
Dodgers,LAD,2025,6187,4195,0.253,0.253,0,0.441,0.439,0.0020000000000000000,0.331,0.334,-0.0030000000000000000
Braves,ATL,2025,6186,4188,0.245,0.246,-0.0010000000000000000,0.399,0.41,-0.011000000000000000,0.315,0.322,-0.007000000000000010
Blue Jays,TOR,2025,6180,4488,0.265,0.263,0.0020000000000000000,0.427,0.422,0.0050000000000000000,0.33,0.33,0
Mets,NYM,2025,6178,4200,0.249,0.258,-0.009000000000000010,0.427,0.442,-0.015000000000000000,0.326,0.339,-0.013000000000000000
Phillies,PHI,2025,6166,4238,0.258,0.255,0.0030000000000000000,0.431,0.424,0.007000000000000010,0.329,0.327,0.0020000000000000000
Cubs,CHC,2025,6162,4283,0.249,0.257,-0.008000000000000010,0.43,0.437,-0.007000000000000010,0.325,0.333,-0.008000000000000010
Athletics,ATH,2025,6151,4194,0.253,0.242,0.01100000000000000,0.431,0.396,0.035000000000000000,0.324,0.309,0.015000000000000000
Marlins,MIA,2025,6142,4359,0.25,0.254,-0.0040000000000000000,0.393,0.404,-0.01100000000000000,0.309,0.317,-0.008000000000000010
Tigers,DET,2025,6093,4057,0.247,0.246,0.0010000000000000000,0.413,0.414,-0.0010000000000000000,0.317,0.32,-0.0030000000000000000
Astros,HOU,2025,6087,4243,0.25,0.246,0.0040000000000000000,0.399,0.399,0,0.312,0.313,-0.0010000000000000000
Padres,SD,2025,6087,4356,0.252,0.254,-0.0020000000000000000,0.39,0.399,-0.009000000000000010,0.311,0.318,-0.007000000000000010
Reds,CIN,2025,6082,4089,0.245,0.234,0.011000000000000000,0.391,0.369,0.02200000000000000,0.309,0.299,0.010000000000000000
Giants,SF,2025,6072,4069,0.235,0.235,0,0.386,0.38,0.006000000000000010,0.305,0.306,-0.0010000000000000000
Cardinals,STL,2025,6069,4177,0.245,0.242,0.0030000000000000000,0.379,0.387,-0.008000000000000010,0.304,0.308,-0.0040000000000000000
Twins,MIN,2025,6059,4103,0.238,0.239,-0.0010000000000000000,0.397,0.396,0.0010000000000000000,0.309,0.311,-0.0020000000000000000
Rangers,TEX,2025,6046,4167,0.234,0.24,-0.005999999999999980,0.381,0.395,-0.014000000000000000,0.299,0.309,-0.010000000000000000
Rays,TB,2025,6045,4132,0.251,0.245,0.006000000000000010,0.401,0.387,0.014000000000000000,0.311,0.307,0.0040000000000000000
Orioles,BAL,2025,6020,4004,0.235,0.239,-0.0040000000000000000,0.394,0.4,-0.006000000000000010,0.305,0.311,-0.006000000000000010
Pirates,PIT,2025,6008,3998,0.231,0.239,-0.00799999999999998,0.35,0.377,-0.027000000000000000,0.29,0.305,-0.015000000000000000
Royals,KC,2025,6008,4405,0.247,0.254,-0.007000000000000010,0.397,0.408,-0.011000000000000000,0.307,0.317,-0.010000000000000000
Angels,LAA,2025,6000,3795,0.225,0.232,-0.007000000000000010,0.397,0.405,-0.008000000000000010,0.302,0.31,-0.008000000000000010
White Sox,CWS,2025,5987,4071,0.232,0.234,-0.0020000000000000000,0.373,0.385,-0.01200000000000000,0.296,0.304,-0.008000000000000010
Nationals,WSH,2025,5982,4129,0.242,0.254,-0.01200000000000000,0.389,0.4,-0.01100000000000000,0.302,0.315,-0.013000000000000000
Guardians,CLE,2025,5943,4045,0.226,0.227,-0.0010000000000000000,0.373,0.361,0.01200000000000000,0.292,0.291,0.0010000000000000000
Rockies,COL,2025,5908,3933,0.237,0.233,0.003999999999999980,0.386,0.376,0.010000000000000000,0.296,0.293,0.0030000000000000000
