"team","team_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff"
"Yankees","NYY","2017","6349","4282",0.262,0.254,0.008000000000000007,0.447,0.433,0.014000000000000012,0.336,0.332,0.0040000000000000036
"Red Sox","BOS","2017","6338","4490",0.258,0.25,0.008000000000000007,0.407,0.396,0.010999999999999954,0.316,0.313,0.0030000000000000027
"Cubs","CHC","2017","6281","4175",0.255,0.247,0.008000000000000007,0.437,0.424,0.013000000000000012,0.331,0.327,0.0040000000000000036
"Astros","HOU","2017","6263","4596",0.282,0.267,0.014999999999999958,0.478,0.443,0.034999999999999976,0.349,0.335,0.013999999999999957
"Twins","MIN","2017","6261","4280",0.26,0.251,0.009000000000000008,0.434,0.421,0.013000000000000012,0.329,0.324,0.0050000000000000044
"Marlins","MIA","2017","6246","4411",0.267,0.254,0.013000000000000012,0.431,0.411,0.020000000000000018,0.325,0.316,0.009000000000000008
"Guardians","CLE","2017","6234","4426",0.263,0.26,0.0030000000000000027,0.449,0.439,0.010000000000000009,0.336,0.336,0
"D-backs","AZ","2017","6223","4135",0.254,0.247,0.007000000000000006,0.445,0.421,0.02400000000000002,0.329,0.321,0.008000000000000007
"Cardinals","STL","2017","6219","4213",0.256,0.253,0.0030000000000000027,0.426,0.43,-0.0040000000000000036,0.326,0.33,-0.0040000000000000036
"Braves","ATL","2017","6215","4491",0.263,0.255,0.008000000000000007,0.412,0.404,0.007999999999999952,0.316,0.313,0.0030000000000000027
"Nationals","WSH","2017","6214","4314",0.266,0.256,0.010000000000000009,0.449,0.432,0.017000000000000015,0.331,0.324,0.007000000000000006
"Reds","CIN","2017","6213","4247",0.253,0.246,0.007000000000000006,0.433,0.399,0.033999999999999975,0.325,0.314,0.01100000000000001
"Rockies","COL","2017","6200","4229",0.273,0.244,0.029000000000000026,0.444,0.391,0.05299999999999999,0.332,0.305,0.027000000000000024
"Dodgers","LAD","2017","6190","4097",0.249,0.249,0,0.437,0.438,-0.0010000000000000009,0.33,0.333,-0.0030000000000000027
"Mets","NYM","2017","6169","4292",0.25,0.245,0.0050000000000000044,0.434,0.415,0.019000000000000017,0.322,0.316,0.006000000000000005
"Mariners","SEA","2017","6166","4333",0.259,0.254,0.0050000000000000044,0.424,0.424,0,0.321,0.322,-0.0010000000000000009
"Blue Jays","TOR","2017","6153","4232",0.24,0.241,-0.0010000000000000009,0.412,0.417,-0.0050000000000000044,0.312,0.317,-0.0050000000000000044
"Tigers","DET","2017","6149","4281",0.258,0.265,-0.007000000000000006,0.424,0.45,-0.026000000000000023,0.321,0.335,-0.014000000000000012
"Rays","TB","2017","6144","4004",0.245,0.235,0.010000000000000009,0.422,0.406,0.01599999999999996,0.316,0.31,0.006000000000000005
"Orioles","BAL","2017","6139","4285",0.26,0.255,0.0050000000000000044,0.435,0.433,0.0020000000000000018,0.318,0.32,-0.0020000000000000018
"Giants","SF","2017","6137","4430",0.249,0.242,0.007000000000000006,0.38,0.38,0,0.296,0.298,-0.0020000000000000018
"Brewers","MIL","2017","6135","3964",0.249,0.237,0.01200000000000001,0.429,0.395,0.033999999999999975,0.321,0.307,0.014000000000000012
"Pirates","PIT","2017","6135","4315",0.244,0.246,-0.0020000000000000018,0.386,0.38,0.006000000000000005,0.304,0.306,-0.0020000000000000018
"Phillies","PHI","2017","6133","4175",0.25,0.241,0.009000000000000008,0.409,0.388,0.020999999999999963,0.31,0.303,0.007000000000000006
"Athletics","OAK","2017","6125","4026",0.246,0.246,0,0.436,0.441,-0.0050000000000000044,0.323,0.328,-0.0050000000000000044
"Rangers","TEX","2017","6121","4003",0.244,0.238,0.006000000000000005,0.43,0.42,0.010000000000000009,0.321,0.319,0.0020000000000000018
"Angels","LAA","2017","6072","4280",0.243,0.246,-0.0030000000000000027,0.397,0.403,-0.006000000000000005,0.307,0.314,-0.007000000000000006
"White Sox","CWS","2017","6058","4184",0.256,0.246,0.010000000000000009,0.417,0.402,0.014999999999999958,0.313,0.307,0.006000000000000005
"Royals","KC","2017","6025","4424",0.259,0.262,-0.0030000000000000027,0.42,0.428,-0.008000000000000007,0.312,0.32,-0.008000000000000007
"Padres","SD","2017","5954","3942",0.234,0.224,0.010000000000000009,0.393,0.367,0.026000000000000023,0.298,0.288,0.010000000000000009
