"team","team_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff"
"D-backs","AZ","2024","6284","4357",0.263,0.254,0.009000000000000008,0.44,0.413,0.027000000000000024,0.337,0.328,0.009000000000000008
"Dodgers","LAD","2024","6255","4247",0.258,0.255,0.0030000000000000027,0.446,0.433,0.013000000000000012,0.337,0.335,0.0020000000000000018
"Yankees","NYY","2024","6245","4195",0.248,0.254,-0.006000000000000005,0.429,0.441,-0.01200000000000001,0.331,0.342,-0.01100000000000001
"Red Sox","BOS","2024","6192","4054",0.252,0.238,0.014000000000000012,0.423,0.404,0.01899999999999996,0.321,0.311,0.010000000000000009
"Orioles","BAL","2024","6176","4259",0.25,0.25,0,0.435,0.424,0.01100000000000001,0.324,0.325,-0.0010000000000000009
"Brewers","MIL","2024","6170","4062",0.248,0.24,0.008000000000000007,0.403,0.385,0.018000000000000016,0.319,0.311,0.008000000000000007
"Mets","NYM","2024","6166","4174",0.246,0.25,-0.0040000000000000036,0.415,0.416,-0.0010000000000000009,0.32,0.325,-0.0050000000000000044
"Phillies","PHI","2024","6166","4217",0.257,0.253,0.0040000000000000036,0.425,0.412,0.013000000000000012,0.325,0.322,0.0030000000000000027
"Twins","MIN","2024","6123","4241",0.246,0.244,0.0020000000000000018,0.411,0.402,0.008999999999999952,0.316,0.315,0.0010000000000000009
"Cubs","CHC","2024","6116","4137",0.242,0.241,0.0010000000000000009,0.393,0.398,-0.0050000000000000044,0.311,0.315,-0.0040000000000000036
"Cardinals","STL","2024","6114","4253",0.248,0.247,0.0010000000000000009,0.392,0.39,0.0020000000000000018,0.307,0.31,-0.0030000000000000027
"Astros","HOU","2024","6107","4412",0.262,0.258,0.0040000000000000036,0.418,0.416,0.0020000000000000018,0.321,0.322,-0.0010000000000000009
"Padres","SD","2024","6103","4508",0.263,0.268,-0.0050000000000000044,0.42,0.422,-0.0020000000000000018,0.324,0.329,-0.0050000000000000044
"Pirates","PIT","2024","6086","4034",0.234,0.24,-0.005999999999999978,0.371,0.386,-0.015000000000000013,0.295,0.306,-0.01100000000000001
"Braves","ATL","2024","6075","4068",0.243,0.244,-0.0010000000000000009,0.415,0.428,-0.013000000000000012,0.315,0.323,-0.008000000000000007
"Mariners","SEA","2024","6066","3752",0.224,0.225,-0.0010000000000000009,0.376,0.39,-0.014000000000000012,0.303,0.311,-0.008000000000000007
"Giants","SF","2024","6062","4065",0.239,0.239,0,0.396,0.401,-0.0050000000000000044,0.305,0.311,-0.006000000000000005
"Blue Jays","TOR","2024","6060","4236",0.241,0.241,0,0.389,0.386,0.0030000000000000027,0.307,0.31,-0.0030000000000000027
"Rangers","TEX","2024","6053","4224",0.238,0.24,-0.0020000000000000018,0.38,0.386,-0.006000000000000005,0.3,0.306,-0.006000000000000005
"Marlins","MIA","2024","6048","4177",0.244,0.239,0.0050000000000000044,0.378,0.379,-0.0010000000000000009,0.296,0.297,-0.0010000000000000009
"Athletics","OAK","2024","6034","3986",0.233,0.233,0,0.393,0.393,0,0.303,0.306,-0.0030000000000000027
"Rockies","COL","2024","6026","3901",0.242,0.232,0.009999999999999981,0.4,0.382,0.018000000000000016,0.306,0.298,0.008000000000000007
"Tigers","DET","2024","6021","4026",0.234,0.236,-0.001999999999999974,0.385,0.386,-0.0010000000000000009,0.299,0.303,-0.0040000000000000036
"Rays","TB","2024","6006","3946",0.23,0.227,0.0030000000000000027,0.366,0.365,0.0010000000000000009,0.294,0.296,-0.0020000000000000018
"Royals","KC","2024","5982","4337",0.248,0.252,-0.0040000000000000036,0.403,0.41,-0.006999999999999951,0.307,0.316,-0.009000000000000008
"Angels","LAA","2024","5975","3988",0.229,0.234,-0.0050000000000000044,0.369,0.377,-0.008000000000000007,0.296,0.303,-0.007000000000000006
"Nationals","WSH","2024","5971","4220",0.243,0.244,-0.0010000000000000009,0.375,0.369,0.006000000000000005,0.3,0.302,-0.0020000000000000018
"Reds","CIN","2024","5970","3927",0.231,0.231,0,0.388,0.369,0.019000000000000017,0.303,0.3,0.0030000000000000027
"Guardians","CLE","2024","5927","4174",0.238,0.236,0.0020000000000000018,0.395,0.367,0.028000000000000025,0.306,0.298,0.008000000000000007
"White Sox","CWS","2024","5869","4025",0.221,0.23,-0.009000000000000008,0.34,0.358,-0.01799999999999996,0.272,0.285,-0.012999999999999956
